timestamp,R_99
1579368571,96.34
1579368572,117.11
1579368573,85.52
1579368574,79.89
1579368575,98.11
1579368576,142.21
1579368577,78.64
1579368578,98.76
1579368579,81.46
1579368580,108.66
1579368581,133.5
1579368582,128.91
1579368583,82.97
1579368584,100.86
1579368585,127.14
1579368586,92.08
1579368587,91.03
1579368588,121.18
1579368589,137.63
1579368590,162.0
1579368591,110.62
1579368592,129.5
1579368593,171.7
1579368594,120.91
1579368595,96.8
1579368596,96.08
1579368597,108.2
1579368598,108.0
1579368599,90.77
1579368600,97.39
1579368601,92.86
1579368602,125.5
1579368603,106.5
1579368604,88.93
1579368605,80.35
1579368606,92.41
1579368607,100.14
1579368608,89.06
1579368609,132.71
1579368610,106.1
1579368611,122.03
1579368612,93.06
1579368613,113.64
1579368614,87.82
1579368615,98.11
1579368616,109.71
1579368617,101.65
1579368618,104.14
1579368619,130.81
1579368620,98.89
1579368621,107.09
1579368622,83.23
1579368623,126.48
1579368624,120.85
1579368625,104.4
1579368626,95.88
1579368627,114.75
1579368628,94.5
1579368629,131.27
1579368630,146.15
1579368631,78.71
1579368632,113.97
1579368633,143.13
1579368634,142.08
1579368635,102.04
1579368636,97.26
1579368637,159.51
1579368638,86.44
1579368639,110.36
1579368640,99.94
1579368641,82.18
1579368642,78.25
1579368643,111.94
1579368644,126.68
1579368645,94.11
1579368646,82.64
1579368647,85.0
1579368648,79.76
1579368649,81.72
1579368650,96.93
1579368651,111.61
1579368652,131.27
1579368653,105.05
1579368654,154.53
1579368655,105.58
1579368656,252.97
1579368657,85.0
1579368658,129.76
1579368659,96.14
1579368660,130.88
1579368661,93.13
1579368662,93.26
1579368663,114.69
1579368664,135.66
1579368665,184.81
1579368666,282.07
1579368667,104.2
1579368668,82.97
1579368669,82.44
1579368670,111.54
1579368671,138.41
1579368672,111.74
1579368673,86.11
1579368674,111.41
1579368675,115.54
1579368676,130.94
1579368677,116.39
1579368678,99.88
1579368679,81.59
1579368680,83.49
1579368681,99.68
1579368682,83.95
1579368683,94.24
1579368684,86.7
1579368685,86.57
1579368686,81.46
1579368687,78.77
1579368688,103.48
1579368689,103.68
1579368690,75.56
1579368691,101.71
1579368692,78.77
1579368693,99.02
1579368694,118.69
